timestamp,MAGNIFICENT_MACARONS,TRANSPORT_FEES,EXPORT_TARIFFS,IMPORT_TARIFF,SUGAR_PRICE,SUNLIGHT_INDEX
0,671.75,2.1,10,-3,199,55
100,672.75,2.1,10,-3,199.0640894,55
200,669.25,2.1,10,-3,198.7831682,55.01
300,669.25,2.1,10,-3,198.5451204,55.02
400,668.75,2.1,10,-3,198.4552608,55.02
500,669.25,2.1,10,-3,198.3275292,55.02
600,669.25,2.1,10,-3,198.3160221,55.03
700,667.25,2.1,10,-3,197.9338146,55.04
800,666.25,2.1,10,-3,197.9476105,55.04
900,667.75,2.1,10,-3,198.029885,55.04
1000,664.25,2.1,10,-3,197.9052371,55.05
1100,663.25,2.1,10,-3,198.0165933,55.06
1200,660.75,2.1,10,-3,197.8808047,55.06
1300,660.75,2.1,10,-3,197.9579259,55.06
1400,658.75,2.1,10,-3,197.7650736,55.07
1500,656.75,2.1,10,-3,197.7011287,55.08
1600,656.25,2.1,10,-3,197.506908,55.08
1700,658.75,2.1,10,-3,197.7254109,55.08
1800,657.25,2.1,10,-3,197.7306778,55.09
1900,661.75,2.1,10,-3,197.9388818,55.1
2000,659.25,2.1,10,-3,197.8649755,55.1
2100,654.75,2.1,10,-3,197.5084966,55.1
2200,657.25,2.1,10,-3,197.4749907,55.11
2300,654.75,2.1,10,-3,197.3785734,55.12
2400,653.75,2.1,10,-3,197.4769789,55.12
2500,650.75,2.1,10,-3,197.4289708,55.12
2600,647.25,2.1,10,-3,197.1049164,55.13
2700,642.75,2.1,10,-3,196.8151291,55.14
2800,636.75,2.1,10,-3,196.6080591,55.14
2900,638.25,2.1,10,-3,196.7270344,55.14
3000,640.25,2.1,10,-3,196.8061914,55.15
3100,644.25,2.1,10,-3,197.0319121,55.16
3200,645.75,2.1,10,-3,197.2418309,55.16
3300,648.25,2.1,10,-3,197.7410486,55.16
3400,648,2.1,10,-3,197.6283245,55.17
3500,650.25,2.1,10,-3,197.6716396,55.18
3600,653.25,2.1,10,-3,197.7762554,55.18
3700,654.25,2.1,10,-3,197.8638461,55.18
3800,654.75,2.1,10,-3,198.0563327,55.19
3900,655.75,2.1,10,-3,197.8040823,55.2
